Vármegye,Település neve,Útszám,Kilométer-szelvény/utca,GPS koordináta szélesség,GPS koordináta hosszúság
Csongrád-Csanád,Hódmezővásárhely,,Jókai utca 48.,46.428704,20.326282
Csongrád-Csanád,Kistelek,,5141+626,46.464798,19.985007
Csongrád-Csanád,Szeged,,551+457,46.253720,20.120461
Csongrád-Csanád,Szeged,,431+630,46.259810,20.162527
Csongrád-Csanád,Szeged,,Gábor Áron u. 65.,46.269420,20.181040
Csongrád-Csanád,Szeged,,Mátyás király tér 18.,46.239800,20.135460
Csongrád-Csanád,Szeged,,Fő fasor 113.,46.241560,20.183560
Csongrád-Csanád,Szeged,,Tabán u. 2.,46.258650,20.167470
Csongrád-Csanád,Szeged,,Szerb u. 26.,46.217810,20.197390
Csongrád-Csanád,Szeged,,Szerb u. 182.,46.204353,20.195001
Csongrád-Csanád,Szeged,,5405 Dorozsmai u.,46.266392,20.110330
Csongrád-Csanád,Szeged,,47220+053,46.277743,20.167053
Csongrád-Csanád,Szeged,,5166+412,46.266349,20.110308
Csongrád-Csanád,Szeged,,Budai Nagy Antal utca 101.,46.259386,20.184353
Csongrád-Csanád,Szeged,,Felső Tisza-part 25.,46.258445,20.165260
Csongrád-Csanád,Szeged,,Vinkler László út 32.,46.281442,20.119869
Csongrád-Csanád,Szeged,,Keresztöltés utca 20/a,46.263550,20.169580

Fejér,Aba,,6375+023,47.036645,18.535269
Fejér,Balatonbozsok,,6435+449,46.955030,18.218817
Fejér,Baracska,,737+365,47.279758,18.749032
Fejér,Bicske,,M1 36+700,47.509485,18.620603
Fejér,Dunaújváros,,675+747,46.916138,18.928120
Fejér,Enying,,64 Fő utca,46.955023,18.218872
Fejér,Iváncsa,,Fő utca 61.,47.151046,18.826743
Fejér,Iváncsa,,Hunyadi utca 253.,47.170457,18.816602
Fejér,Söréd,,8118+174,47.319470,18.279249
Fejér,Székesfehérvár,,M7 60+090,47.172826,18.468576
Fejér,Székesfehérvár,,M7 60+064,47.172966,18.468850
Fejér,Székesfehérvár,,765+818,47.198013,18.442009
Fejér,Székesfehérvár,,Szent Flórián krt.,47.213920,18.411264

Győr-Moson-Sopron,Abda,,1133+296,47.693917,17.549470
Győr-Moson-Sopron,Börcs,,M1 131+600,47.690782,17.522998
Győr-Moson-Sopron,Fertőboz,,Fő utca 69.,47.637218,16.695900
Győr-Moson-Sopron,Fertőhomok,,Akác u. 44.,47.620720,16.764490
Győr-Moson-Sopron,Fertőszentmiklós,,Rákóczi Ferenc u. 71.,47.594930,16.868980
Győr-Moson-Sopron,Fertőszentmiklós,,Vadász utca 14.,47.578645,16.876409
Győr-Moson-Sopron,Fertőszentmiklós,,Újtelep utca 12.,47.572474,16.882430
Győr-Moson-Sopron,Győr,,Bárka u.,47.701970,17.645000
Győr-Moson-Sopron,Hegykő,,Kossuth Lajos u. 44.,47.621350,16.787660
Győr-Moson-Sopron,Károlyháza,,M11/157+195,47.849109,17.270250
Győr-Moson-Sopron,Lövő,,8495+503,47.502844,16.780645
Győr-Moson-Sopron,Mosonmagyaróvár,,86185+705,47.856128,17.264388
